questionnaire_type,participant_id,id,response_value,question
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,463,0.67,confidence
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,464,0.5,effort
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,465,0.33,engagement
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,462,0.33,overall_difficulty
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,369,0.0,ai_familiarity
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,370,0.0,ai_usage
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,367,0.0,content_familiarity
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,368,0.0,decision_experience
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,371,0.0,tech_comfort
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,351,0.33,confidence
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,352,0.5,effort
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,353,0.17,engagement
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,350,0.67,overall_difficulty
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,297,0.0,ai_familiarity
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,298,0.83,ai_usage
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,295,0.0,content_familiarity
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,296,0.33,decision_experience
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,299,0.0,tech_comfort
post,346fb2ca-9655-4a93-be9e-802336b1b52b,335,0.33,confidence
post,346fb2ca-9655-4a93-be9e-802336b1b52b,336,0.5,effort
post,346fb2ca-9655-4a93-be9e-802336b1b52b,337,0.17,engagement
post,346fb2ca-9655-4a93-be9e-802336b1b52b,334,0.33,overall_difficulty
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,322,0.17,ai_familiarity
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,323,0.0,ai_usage
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,320,0.0,content_familiarity
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,321,0.0,decision_experience
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,324,0.0,tech_comfort
post,416ced96-db46-4c29-95dc-864750c655dc,431,0.83,confidence
post,416ced96-db46-4c29-95dc-864750c655dc,432,0.33,effort
post,416ced96-db46-4c29-95dc-864750c655dc,433,0.5,engagement
post,416ced96-db46-4c29-95dc-864750c655dc,430,0.0,overall_difficulty
pre,416ced96-db46-4c29-95dc-864750c655dc,414,0.67,ai_familiarity
pre,416ced96-db46-4c29-95dc-864750c655dc,415,0.83,ai_usage
pre,416ced96-db46-4c29-95dc-864750c655dc,412,0.0,content_familiarity
pre,416ced96-db46-4c29-95dc-864750c655dc,413,0.33,decision_experience
pre,416ced96-db46-4c29-95dc-864750c655dc,416,0.33,tech_comfort
post,4d423645-09a6-47b6-9bfd-49399beee4c4,500,0.67,confidence
post,4d423645-09a6-47b6-9bfd-49399beee4c4,501,0.5,effort
post,4d423645-09a6-47b6-9bfd-49399beee4c4,502,0.17,engagement
post,4d423645-09a6-47b6-9bfd-49399beee4c4,499,0.33,overall_difficulty
pre,4d423645-09a6-47b6-9bfd-49399beee4c4,487,0.0,ai_familiarity
pre,4d423645-09a6-47b6-9bfd-49399beee4c4,488,0.0,ai_usage
pre,4d423645-09a6-47b6-9bfd-49399beee4c4,485,0.0,content_familiarity
pre,4d423645-09a6-47b6-9bfd-49399beee4c4,486,0.0,decision_experience
pre,4d423645-09a6-47b6-9bfd-49399beee4c4,489,0.0,tech_comfort
post,7bb2203d-a0bd-4030-87f9-10d78eb6f043,347,0.67,confidence
post,7bb2203d-a0bd-4030-87f9-10d78eb6f043,348,0.33,effort
post,7bb2203d-a0bd-4030-87f9-10d78eb6f043,349,0.33,engagement
post,7bb2203d-a0bd-4030-87f9-10d78eb6f043,346,0.5,overall_difficulty
pre,7bb2203d-a0bd-4030-87f9-10d78eb6f043,327,0.0,ai_familiarity
pre,7bb2203d-a0bd-4030-87f9-10d78eb6f043,328,0.0,ai_usage
pre,7bb2203d-a0bd-4030-87f9-10d78eb6f043,325,0.0,content_familiarity
pre,7bb2203d-a0bd-4030-87f9-10d78eb6f043,326,0.5,decision_experience
pre,7bb2203d-a0bd-4030-87f9-10d78eb6f043,329,0.0,tech_comfort
post,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,467,0.33,confidence
post,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,468,0.67,effort
post,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,469,0.0,engagement
post,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,466,0.33,overall_difficulty
pre,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,374,0.17,ai_familiarity
pre,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,375,0.17,ai_usage
pre,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,372,0.0,content_familiarity
pre,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,373,0.17,decision_experience
pre,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,376,0.0,tech_comfort
post,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,455,0.67,confidence
post,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,456,0.33,effort
post,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,457,0.17,engagement
post,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,454,0.33,overall_difficulty
pre,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,404,0.67,ai_familiarity
pre,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,405,0.5,ai_usage
pre,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,402,0.17,content_familiarity
pre,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,403,0.17,decision_experience
pre,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,406,0.33,tech_comfort
post,999e697f-eced-4f04-9cdc-7c6d1138e13f,459,0.67,confidence
post,999e697f-eced-4f04-9cdc-7c6d1138e13f,460,0.67,effort
post,999e697f-eced-4f04-9cdc-7c6d1138e13f,461,1.0,engagement
post,999e697f-eced-4f04-9cdc-7c6d1138e13f,458,1.0,overall_difficulty
pre,999e697f-eced-4f04-9cdc-7c6d1138e13f,419,0.5,ai_familiarity
pre,999e697f-eced-4f04-9cdc-7c6d1138e13f,420,0.5,ai_usage
pre,999e697f-eced-4f04-9cdc-7c6d1138e13f,417,0.0,content_familiarity
pre,999e697f-eced-4f04-9cdc-7c6d1138e13f,418,0.17,decision_experience
pre,999e697f-eced-4f04-9cdc-7c6d1138e13f,421,1.0,tech_comfort
post,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,496,0.5,confidence
post,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,497,0.5,effort
post,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,498,0.17,engagement
post,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,495,0.5,overall_difficulty
pre,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,482,0.0,ai_familiarity
pre,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,483,0.0,ai_usage
pre,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,480,0.0,content_familiarity
pre,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,481,0.33,decision_experience
pre,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,484,0.17,tech_comfort
post,9ad79e66-f08b-4a92-9b73-fe13848408c3,447,0.67,confidence
post,9ad79e66-f08b-4a92-9b73-fe13848408c3,448,0.67,effort
post,9ad79e66-f08b-4a92-9b73-fe13848408c3,449,0.67,engagement
post,9ad79e66-f08b-4a92-9b73-fe13848408c3,446,0.33,overall_difficulty
pre,9ad79e66-f08b-4a92-9b73-fe13848408c3,409,0.33,ai_familiarity
pre,9ad79e66-f08b-4a92-9b73-fe13848408c3,410,0.17,ai_usage
pre,9ad79e66-f08b-4a92-9b73-fe13848408c3,407,0.0,content_familiarity
pre,9ad79e66-f08b-4a92-9b73-fe13848408c3,408,0.17,decision_experience
pre,9ad79e66-f08b-4a92-9b73-fe13848408c3,411,0.17,tech_comfort
post,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,359,0.67,confidence
post,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,360,0.17,effort
post,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,361,0.5,engagement
post,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,358,0.33,overall_difficulty
pre,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,307,0.17,ai_familiarity
pre,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,308,0.0,ai_usage
pre,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,305,0.0,content_familiarity
pre,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,306,0.0,decision_experience
pre,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,309,0.0,tech_comfort
post,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,331,1.0,confidence
post,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,332,1.0,effort
post,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,333,0.5,engagement
post,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,330,0.83,overall_difficulty
pre,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,317,0.17,ai_familiarity
pre,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,318,0.0,ai_usage
pre,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,315,0.0,content_familiarity
pre,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,316,0.5,decision_experience
pre,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,319,0.17,tech_comfort
post,c8041c5c-38ce-4991-b0f3-a9960672fce1,439,0.5,confidence
post,c8041c5c-38ce-4991-b0f3-a9960672fce1,440,0.33,effort
post,c8041c5c-38ce-4991-b0f3-a9960672fce1,441,0.17,engagement
post,c8041c5c-38ce-4991-b0f3-a9960672fce1,438,0.33,overall_difficulty
pre,c8041c5c-38ce-4991-b0f3-a9960672fce1,364,0.17,ai_familiarity
pre,c8041c5c-38ce-4991-b0f3-a9960672fce1,365,0.33,ai_usage
pre,c8041c5c-38ce-4991-b0f3-a9960672fce1,362,0.0,content_familiarity
pre,c8041c5c-38ce-4991-b0f3-a9960672fce1,363,0.0,decision_experience
pre,c8041c5c-38ce-4991-b0f3-a9960672fce1,366,0.0,tech_comfort
post,cc61afea-4367-4738-89b9-8c8d8a306d8c,423,0.83,confidence
post,cc61afea-4367-4738-89b9-8c8d8a306d8c,424,0.33,effort
post,cc61afea-4367-4738-89b9-8c8d8a306d8c,425,0.5,engagement
post,cc61afea-4367-4738-89b9-8c8d8a306d8c,422,0.17,overall_difficulty
pre,cc61afea-4367-4738-89b9-8c8d8a306d8c,379,0.0,ai_familiarity
pre,cc61afea-4367-4738-89b9-8c8d8a306d8c,380,0.0,ai_usage
pre,cc61afea-4367-4738-89b9-8c8d8a306d8c,377,0.0,content_familiarity
pre,cc61afea-4367-4738-89b9-8c8d8a306d8c,378,0.0,decision_experience
pre,cc61afea-4367-4738-89b9-8c8d8a306d8c,381,0.0,tech_comfort
post,d35fbd2f-a8ee-4857-ab65-879838215e77,343,0.67,confidence
post,d35fbd2f-a8ee-4857-ab65-879838215e77,344,0.67,effort
post,d35fbd2f-a8ee-4857-ab65-879838215e77,345,0.33,engagement
post,d35fbd2f-a8ee-4857-ab65-879838215e77,342,0.5,overall_difficulty
pre,d35fbd2f-a8ee-4857-ab65-879838215e77,312,0.0,ai_familiarity
pre,d35fbd2f-a8ee-4857-ab65-879838215e77,313,0.0,ai_usage
pre,d35fbd2f-a8ee-4857-ab65-879838215e77,310,0.0,content_familiarity
pre,d35fbd2f-a8ee-4857-ab65-879838215e77,311,0.17,decision_experience
pre,d35fbd2f-a8ee-4857-ab65-879838215e77,314,0.0,tech_comfort
post,d519b933-73b4-4061-b5c3-6d8b7b857c95,451,0.5,confidence
post,d519b933-73b4-4061-b5c3-6d8b7b857c95,452,0.5,effort
post,d519b933-73b4-4061-b5c3-6d8b7b857c95,453,0.0,engagement
post,d519b933-73b4-4061-b5c3-6d8b7b857c95,450,0.67,overall_difficulty
pre,d519b933-73b4-4061-b5c3-6d8b7b857c95,389,0.33,ai_familiarity
pre,d519b933-73b4-4061-b5c3-6d8b7b857c95,390,0.5,ai_usage
pre,d519b933-73b4-4061-b5c3-6d8b7b857c95,387,0.17,content_familiarity
pre,d519b933-73b4-4061-b5c3-6d8b7b857c95,388,0.0,decision_experience
pre,d519b933-73b4-4061-b5c3-6d8b7b857c95,391,0.17,tech_comfort
post,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,355,0.67,confidence
post,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,356,0.33,effort
post,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,357,0.67,engagement
post,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,354,0.67,overall_difficulty
pre,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,292,0.0,ai_familiarity
pre,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,293,0.0,ai_usage
pre,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,290,0.0,content_familiarity
pre,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,291,0.0,decision_experience
pre,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,294,0.0,tech_comfort
post,d7d9c375-530f-43f0-921e-a8cbf47df914,443,0.67,confidence
post,d7d9c375-530f-43f0-921e-a8cbf47df914,444,0.33,effort
post,d7d9c375-530f-43f0-921e-a8cbf47df914,445,0.17,engagement
post,d7d9c375-530f-43f0-921e-a8cbf47df914,442,0.0,overall_difficulty
pre,d7d9c375-530f-43f0-921e-a8cbf47df914,399,0.0,ai_familiarity
pre,d7d9c375-530f-43f0-921e-a8cbf47df914,400,0.17,ai_usage
pre,d7d9c375-530f-43f0-921e-a8cbf47df914,397,0.0,content_familiarity
pre,d7d9c375-530f-43f0-921e-a8cbf47df914,398,0.0,decision_experience
pre,d7d9c375-530f-43f0-921e-a8cbf47df914,401,0.0,tech_comfort
post,f9e8e30e-6178-4de7-ba7d-cca822f9f989,339,0.67,confidence
post,f9e8e30e-6178-4de7-ba7d-cca822f9f989,340,0.17,effort
post,f9e8e30e-6178-4de7-ba7d-cca822f9f989,341,0.5,engagement
post,f9e8e30e-6178-4de7-ba7d-cca822f9f989,338,0.33,overall_difficulty
pre,f9e8e30e-6178-4de7-ba7d-cca822f9f989,302,0.0,ai_familiarity
pre,f9e8e30e-6178-4de7-ba7d-cca822f9f989,303,0.17,ai_usage
pre,f9e8e30e-6178-4de7-ba7d-cca822f9f989,300,0.0,content_familiarity
pre,f9e8e30e-6178-4de7-ba7d-cca822f9f989,301,0.17,decision_experience
pre,f9e8e30e-6178-4de7-ba7d-cca822f9f989,304,0.0,tech_comfort
post,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,427,0.5,confidence
post,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,428,0.67,effort
post,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,429,0.17,engagement
post,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,426,0.33,overall_difficulty
pre,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,384,0.17,ai_familiarity
pre,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,385,0.17,ai_usage
pre,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,382,0.0,content_familiarity
pre,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,383,0.17,decision_experience
pre,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,386,0.17,tech_comfort
post,fd8b5d9a-df98-4df5-922a-190f9912b135,504,0.17,confidence
post,fd8b5d9a-df98-4df5-922a-190f9912b135,505,0.5,effort
post,fd8b5d9a-df98-4df5-922a-190f9912b135,506,0.33,engagement
post,fd8b5d9a-df98-4df5-922a-190f9912b135,503,0.67,overall_difficulty
pre,fd8b5d9a-df98-4df5-922a-190f9912b135,492,0.0,ai_familiarity
pre,fd8b5d9a-df98-4df5-922a-190f9912b135,493,0.0,ai_usage
pre,fd8b5d9a-df98-4df5-922a-190f9912b135,490,0.0,content_familiarity
pre,fd8b5d9a-df98-4df5-922a-190f9912b135,491,0.0,decision_experience
pre,fd8b5d9a-df98-4df5-922a-190f9912b135,494,0.0,tech_comfort
